variable,mean,sd,5.5%,95.5%
b0[1],3.3121161825,0.09764934939061702,3.15620395,3.4782104499999997
b0[2],0.901389808,0.05517500959606276,0.813901905,0.993784295
b0[3],0.4690182735,0.06519586093928895,0.36569961999999995,0.57773689
b0[4],0.315888795825,0.09236284221559041,0.16600396499999998,0.47313109499999983
b0[5],-0.6655605195185,0.8717482087193543,-2.1968168,0.587998925
b1,-3.35917893,0.5047280205237574,-4.25360935,-2.6911814500000006
b2[1],0.117819192325,0.01958177914874134,0.086639601,0.15032116
b2[2],0.218120492315525,0.08657097441503805,0.08060375250000001,0.366435185
b2[3],0.21955252926175,0.13842093804359476,-0.005330407050000005,0.45772933499999996
b2[4],0.4798283855425,0.16314204111003913,0.22202448,0.7610828999999999
b2[5],3.72591573875,1.551422796708791,1.5976656,6.664752449999998
cutpoints[1],-5.6283121,0.16154592200708529,-5.8861149500000005,-5.3577505499999996
cutpoints[2],-4.1424150075,0.13815265801452775,-4.3568888,-3.90636505
cutpoints[3],-3.287475095,0.12926746263973507,-3.48776035,-3.0611957000000003
cutpoints[4],-2.6396134425,0.126004123520662,-2.8366212500000003,-2.4247631
delta[1],0.70447213625,0.09480276338640457,0.541535945,0.85027881
delta[2],0.0497218646825,0.02964084550048052,0.011382612,0.10802231500000001
delta[3],0.07880615570025,0.046709630762222364,0.017340607,0.171488385
delta[4],0.16699985327125,0.09889898719337814,0.037756177499999995,0.35930999999999985
